"Predmet","Tip","Nastavnik","Grupe","Dan","Termin","Učionica"
"Poslovne aplikacije","V","Mijatovic Igor","101","UTO","11:15-13:00","Raf04 (u)"
"Uvod u programiranje","D","Brnabic Mateja","101","PON","13:15-15:00","Rg07 (u)"
"Uvod u programiranje","V","Tomic Milan","101","UTO","13:15-15:00","Raf02 (u)"
"Diskretne strukture","V","Jeremic Adrijana","101, 102, 103","UTO","17:15-20:00","Raf21 (a)"
"Engleski 1","P","Cuk Bojana","101, 102, 103","UTO","15:15-17:00","Raf21 (a)"
"Linearna algebra i analiticka geometrija","P","Jovanovic Jelena","101, 102, 103","SRE","18:15-21:00","Raf20 (a)"
